threads,package,points,read_time[s],calc_time[s],write_time[s]
1,5,55076,0.670775,340.403,0.944892
1,10,55076,0.655164,309.156,0.939349
1,15,55076,0.651839,317.831,0.947619
1,20,55076,0.649019,307.544,1.06614
1,25,55076,0.737708,311.003,0.944403
1,30,55076,0.660755,306.25,1.05962
1,35,55076,0.722517,318.472,1.14313
1,40,55076,0.751666,298.707,0.971053
1,45,55076,0.6875,293.153,0.941266
1,50,55076,0.651867,292.834,0.945133
1,55,55076,0.647616,289.643,0.947858
1,60,55076,0.648503,286.917,0.942302
1,65,55076,0.646844,289.053,0.946205
1,70,55076,0.669534,287.215,0.948299
1,75,55076,0.65197,284.284,0.940301
1,80,55076,0.651027,288.14,0.947043
1,85,55076,0.655838,281.209,0.941563
1,90,55076,0.651401,285.408,0.943997
1,95,55076,0.652115,283.223,1.11582
1,100,55076,0.698112,287.742,0.94476
2,5,55076,0.648796,176.397,0.941538
2,10,55076,0.648137,160.245,0.949021
2,15,55076,0.650776,154.441,0.981851
2,20,55076,0.652649,152.909,0.945216
2,25,55076,0.65286,150.585,0.950675
2,30,55076,0.697643,151.436,0.941966
2,35,55076,0.649446,149.39,0.949022
2,40,55076,0.647701,149.992,0.946873
2,45,55076,0.648806,149.389,0.945524
2,50,55076,0.653262,147.292,0.952244
2,55,55076,0.652813,147.277,0.95096
2,60,55076,0.687145,147.141,0.942671
2,65,55076,0.649903,148.224,0.944587
2,70,55076,0.669452,148.847,0.946388
2,75,55076,0.653988,146.209,0.948712
2,80,55076,0.651377,147.672,0.943791
2,85,55076,0.653838,149.865,0.950932
2,90,55076,0.669901,146.989,0.941864
2,95,55076,0.650299,147.529,0.945496
2,100,55076,0.652846,146.96,0.947305
4,5,55076,0.652225,94.903,0.944736
4,10,55076,0.650513,85.266,0.941016
4,15,55076,0.651616,82.6352,0.944813
4,20,55076,0.652578,81.1412,0.94885
4,25,55076,0.653896,80.103,0.94364
4,30,55076,0.651379,79.5147,0.951494
4,35,55076,0.656353,79.5827,0.949937
4,40,55076,0.652731,78.679,0.946161
4,45,55076,0.654917,79.558,0.959937
4,50,55076,0.653675,78.4527,0.944713
4,55,55076,0.649667,77.8864,0.950587
4,60,55076,0.653558,76.6811,0.951514
4,65,55076,0.650988,77.9546,0.940151
4,70,55076,0.658644,78.7211,0.954428
4,75,55076,0.650509,78.4991,0.950007
4,80,55076,0.741584,77.498,0.964299
4,85,55076,0.655118,78.6917,0.945254
4,90,55076,0.651764,78.3673,0.956862
4,95,55076,0.653504,77.7454,0.942435
4,100,55076,0.650975,77.2197,0.94376
8,5,55076,0.647064,50.3727,0.950689
8,10,55076,0.649622,43.9856,0.950559
8,15,55076,0.650114,42.1059,0.945056
8,20,55076,0.651391,41.5376,0.94359
8,25,55076,0.647695,41.0979,0.945635
8,30,55076,0.65141,40.4766,0.945689
8,35,55076,0.647344,40.2127,0.949902
8,40,55076,0.654563,39.9601,0.948138
8,45,55076,0.648497,40.3522,0.943981
8,50,55076,0.650982,39.8686,0.951181
8,55,55076,0.652563,40.2354,0.948229
8,60,55076,0.650104,39.8114,0.945286
8,65,55076,0.6483,40.0177,0.950486
8,70,55076,0.648677,40.0201,0.94655
8,75,55076,0.680372,40.049,0.947122
8,80,55076,0.670285,39.3981,0.946348
8,85,55076,0.645967,39.5816,0.947202
8,90,55076,0.652392,39.9272,0.94677
8,95,55076,0.652523,39.6386,0.947545
8,100,55076,0.647575,39.4449,0.946146
16,5,55076,0.652041,32.3264,0.963187
16,10,55076,0.64731,25.2262,0.951541
16,15,55076,0.651073,23.014,0.94673
16,20,55076,0.651004,22.1542,0.941136
16,25,55076,0.651695,21.7262,0.955097
16,30,55076,0.657598,21.4941,0.950137
16,35,55076,0.651642,21.2817,0.946197
16,40,55076,0.65612,21.3884,0.947751
16,45,55076,0.648932,20.9577,0.939153
16,50,55076,0.653049,21.0757,0.946211
16,55,55076,0.650825,21.0588,0.947214
16,60,55076,0.651588,21.0965,0.944608
16,65,55076,0.654993,21.1784,0.948312
16,70,55076,0.652556,20.8566,0.951513
16,75,55076,0.647924,21.0312,0.949642
16,80,55076,0.646962,21.0784,0.943436
16,85,55076,0.65585,21.0002,0.951865
16,90,55076,0.649033,20.8871,0.947871
16,95,55076,0.652788,21.0376,0.941798
16,100,55076,0.652404,20.8746,0.950535
32,5,55076,0.649385,28.9144,0.956701
32,10,55076,0.649884,21.4949,0.947208
32,15,55076,0.645355,19.1868,0.946671
32,20,55076,0.654226,18.2105,0.948144
32,25,55076,0.670704,17.6746,0.942571
32,30,55076,0.651193,17.3429,0.947533
32,35,55076,0.657802,17.156,1.0182
32,40,55076,0.647854,16.9996,0.942383
32,45,55076,0.650015,16.9339,0.945818
32,50,55076,0.64554,16.9227,0.949455
32,55,55076,0.651576,16.9013,0.973011
32,60,55076,0.647918,16.8742,0.959533
32,65,55076,0.741369,16.9471,0.949775
32,70,55076,0.647689,16.9123,0.942357
32,75,55076,0.672658,16.8588,0.952034
32,80,55076,0.652154,16.8526,0.946403
32,85,55076,0.651891,16.8718,0.945319
32,90,55076,0.652476,16.8783,0.946065
32,95,55076,0.647236,16.9205,0.948532
32,100,55076,0.651357,16.9972,0.944886
